County,Household Income 2011,Population 2011,Median Age 2011,Per Capita Income 2011,Poverty Count 2011,Employed Persons Over 16 2011,Unemployed Persons Over 16 2011,Household Income 2016,Population 2016,Median Age 2016,Per Capita Income 2016,Poverty Count 2016,Employed Persons Over 16 2016,Unemployed Persons Over 16 2016,"Fast-food restaurants, 2011","Fast-food restaurants, 2016","Fast-food restaurants (% change), 2011-16","Fast-food restaurants/10,000 pop, 2011","Fast-food restaurants/10,000 pop, 2016","Fast-food restaurants/1,000 pop (% change), 2011-16",Obesity 2011 %,Obesity 2016 %,New Diabetes per 1k : 2011,New Diabetes per 1k : 2016,Diagnosed Diabetes 2011 %,Diagnosed Diabetes 2016 %,Population 2012,No Education 2012,High School Education 2012,GED education 2012,Associate Education 2012,Bachelor Education 2012,Masters Education 2012,Professional Education 2012,Doctorate Education 2012,College 2012,College Rate 2012,No Education 2016,High School Education 2016,GED education 2016,Associate Education 2016,Bachelor Education 2016,Masters Education 2016,Professional Education 2016,Doctorate Education 2016,College 2016,College Rate 2016
Plumas,44151.0,20192.0,49.0,28104.0,2680.0,9272.0,7592.0,50125.0,18754.0,51.7,31292.0,2346.0,8297.0,7736.0,13,9,-30.769231,6.59363,4.79055,-27.345832,24.3,26.0,7.3,7.2,7.2,7.8,19926.0,117.0,3182.0,441.0,1708.0,2123.0,979.0,139.0,198.0,5147.0,25.83057312054602,127.0,3040.0,419.0,1723.0,1828.0,988.0,271.0,94.0,4904.0,26.149088194518498
Riverside,58365.0,2154844.0,33.5,24516.0,301763.0,1001772.0,610872.0,57972.0,2323892.0,34.8,24443.0,376689.0,1071927.0,710825.0,1331,1541,15.777610999999998,5.95289,6.4571000000000005,8.469984,25.8,27.0,9.9,7.8,9.2,8.7,2192982.0,27943.0,300963.0,37965.0,101472.0,178679.0,67662.0,18309.0,11101.0,377223.0,17.201372377885455,35756.0,337537.0,42749.0,115356.0,198192.0,79849.0,20311.0,12893.0,426601.0,18.357178388668665
Sacramento,56553.0,1408480.0,34.7,27180.0,205715.0,705306.0,383088.0,57509.0,1479300.0,35.7,28292.0,260877.0,724073.0,435505.0,937,1075,14.727854999999998,6.53187,7.10387,8.757118,26.6,28.7,8.8,7.8,8.6,8.9,1422348.0,23003.0,171767.0,26449.0,85207.0,172480.0,54086.0,19794.0,9260.0,340827.0,23.962279273426763,27455.0,190520.0,28724.0,94393.0,189759.0,64859.0,22097.0,9868.0,380976.0,25.75380247414317
San Benito,65570.0,54873.0,33.9,26300.0,6179.0,28061.0,12665.0,73814.0,58051.0,35.1,27848.0,6224.0,29883.0,14350.0,26,28,7.6923080000000015,4.64004,4.7189700000000006,1.7010330000000002,22.9,31.9,7.2,7.8,7.1,8.4,55467.0,1075.0,6914.0,1039.0,2690.0,4685.0,1084.0,403.0,120.0,8982.0,16.19341229920493,1001.0,7903.0,1129.0,3005.0,4777.0,1439.0,500.0,233.0,9954.0,17.146991438562644
San Bernardino,55853.0,2023452.0,31.4,21932.0,317059.0,949657.0,550919.0,54469.0,2106754.0,32.7,21857.0,392195.0,962592.0,635920.0,1346,1526,13.372957000000001,6.52644,7.14041,9.407534,27.4,28.6,9.7,8.5,9.4,9.4,2041029.0,28061.0,281168.0,35686.0,98093.0,147554.0,55110.0,14504.0,8654.0,323915.0,15.870181168420439,30062.0,297696.0,41514.0,106522.0,162213.0,63738.0,14542.0,9429.0,356444.0,16.91910873315062
San Diego,63857.0,3060849.0,34.6,30955.0,387565.0,1595751.0,830643.0,66529.0,3253356.0,35.3,32482.0,444024.0,1697309.0,910566.0,2348,2736,16.524701999999998,7.4782600000000015,8.24792,10.291936999999999,22.5,20.2,7.9,6.0,7.6,6.9,3100500.0,34114.0,339413.0,42695.0,180134.0,430264.0,168867.0,52316.0,40544.0,872125.0,28.128527656829547,41486.0,359018.0,47612.0,187464.0,487026.0,199234.0,58066.0,44596.0,976386.0,30.011655656497478
San Francisco,72947.0,797983.0,38.4,46777.0,96801.0,484137.0,218389.0,87701.0,850282.0,38.4,55567.0,104180.0,521164.0,225670.0,753,958,27.224435999999997,9.22462,10.93479,18.539194000000002,15.3,18.5,6.2,5.6,7.0,6.7,807755.0,15790.0,76800.0,8828.0,33912.0,198019.0,80683.0,30763.0,15241.0,358618.0,44.39687776615435,20036.0,74280.0,9109.0,36363.0,220335.0,95666.0,32831.0,17732.0,402927.0,47.38745498552245
San Joaquin,53764.0,680277.0,32.5,22857.0,110748.0,314769.0,188829.0,55045.0,714860.0,33.7,23477.0,124587.0,326928.0,211273.0,401,466,16.209476000000002,5.76919,6.34623,10.002039,30.1,32.5,9.8,9.3,9.5,10.0,687036.0,15403.0,91172.0,15034.0,35515.0,51142.0,14862.0,5391.0,2810.0,109720.0,15.970051059915347,16367.0,100593.0,17227.0,41649.0,55004.0,16993.0,5472.0,2828.0,121946.0,17.05872478527264
San Luis Obispo,58630.0,267871.0,39.1,30204.0,33330.0,132969.0,90858.0,64014.0,278680.0,39.0,32335.0,37208.0,137689.0,95930.0,219,234,6.849315,8.07671,8.289579999999999,2.6356330000000003,20.0,25.3,6.2,6.0,6.1,6.9,270121.0,1984.0,33142.0,4673.0,17257.0,34965.0,13802.0,4423.0,3147.0,73594.0,27.2448273181278,2030.0,30903.0,4801.0,18436.0,39994.0,15020.0,4296.0,3476.0,81222.0,29.145256207836947
San Mateo,87633.0,711622.0,39.2,45346.0,48891.0,391664.0,179122.0,98546.0,754748.0,39.5,50262.0,57490.0,419603.0,189735.0,501,593,18.363273,6.8722199999999996,7.70569,12.128123,20.5,20.7,6.9,5.8,7.0,6.8,721183.0,8011.0,78690.0,7569.0,38661.0,135711.0,55332.0,17241.0,14075.0,261020.0,36.19331015844799,11351.0,76639.0,8753.0,39861.0,148547.0,66121.0,20918.0,16375.0,291822.0,38.66482587565651
Santa Barbara,61896.0,419793.0,33.4,30330.0,57170.0,215436.0,119738.0,65161.0,439395.0,33.7,31098.0,66880.0,223977.0,127252.0,286,344,20.27972,6.7127,7.707889999999999,14.825446,19.3,24.6,6.3,7.4,6.3,8.2,423594.0,5873.0,40390.0,6156.0,21500.0,48443.0,21108.0,6557.0,6322.0,103930.0,24.535286146640416,6760.0,41809.0,6567.0,21096.0,51832.0,22062.0,7146.0,6101.0,108237.0,24.633188816440786
Santa Clara,89064.0,1762754.0,36.0,40698.0,160396.0,931510.0,451574.0,101173.0,1885056.0,36.8,46034.0,172213.0,1005037.0,491168.0,1288,1544,19.875776000000002,7.10107,7.99348,12.567269,20.2,19.2,7.3,6.1,7.5,7.3,1788393.0,23242.0,169305.0,19342.0,87520.0,309774.0,172758.0,31646.0,38474.0,640172.0,35.79593523347497,28948.0,168399.0,21352.0,89726.0,342701.0,208794.0,34369.0,44998.0,720588.0,38.22634446934202
Santa Cruz,66030.0,259402.0,36.7,32975.0,34382.0,139712.0,71564.0,70088.0,270931.0,37.0,34732.0,39211.0,142697.0,80062.0,171,175,2.339181,6.4503200000000005,6.3591,-1.4141780000000002,21.2,18.6,6.1,5.2,6.1,6.2,262340.0,2545.0,23347.0,3640.0,14126.0,39033.0,16327.0,4287.0,3909.0,77682.0,29.611191583441332,3140.0,23374.0,3769.0,16140.0,40953.0,18085.0,4872.0,4476.0,84526.0,31.198349395233468
